Rank,Album Name,Rating (#votes),Popularity
397,Mega Drive Last Action Heroes,4.07 (14),0.0764
398,Final Fantasy VI/VII/X,4.41 (11),0.0765
399,Tales Of Eternia  ,3.15 (13),0.0766
400,The Legend Of Heroes Sora No Kiseki Sc  Sound Track,4.27 (11),0.0768
401,Sega Rally Championship Ignition,4.09 (11),0.0768
402,The Witcher -role.Playing Game-  ,3.68 (11),0.0768
403,Borderlands  ,3.92 (13),0.0770
404,Final Fantasy Xv   ,4.45 (11),0.0770
405,Violet Evergarden : Automemories,4.75 (12),0.0771
406,Shin Sekaiju No Meiq 2 Fafnir No Kishi  ,4.08 (13),0.0772
407,Double Dragon,3.95 (11),0.0772
408,Persona Q Shadow Of The Labyrinth  ,3.67 (15),0.0772
409,Talesweaver   Plus,4.50 (11),0.0773
410,Final Fantasy Iv: Echoes Of Betrayal,3.43 (29),0.0773
411,Xenoblade2   [type A],4.83 (27),0.0774
412,Sonic & Knuckles: Sonic The Hedgehog 3,3.78 (16),0.0775
414,Bra bra Final Fantasy Brass De Bravo,4.07 (14),0.0776
415,Shock Troopers 2nd Squad / Shock Troopers,4.18 (14),0.0777
416,Love Sq,3.34 (16),0.0777
417,Dariusburst  ,3.91 (11),0.0777
418,Xenoblade 2 Sound Selection,4.27 (11),0.0777
419,Final Fight  Sound Collection,4.23 (11),0.0778
420,Wave Race 64  ,3.96 (13),0.0779
421,Kiss Me Good-bye,3.92 (12),0.0779
422,Portal 2: Songs To Test By ,3.92 (13),0.0779
423,Sendaisoushi ~ Offering To The Sukhavati,4.68 (20),0.0779
424,Myst Iii: Exile The ,3.63 (12),0.0780
425,Donkey Kong Country 2 ~diddy's Kong Quest~ Serious Monkey Business,4.04 (23),0.0781
427,Nesshou Street Fighter Ii,3.64 (14),0.0781
428,Virtua Fighter,3.54 (13),0.0782
429,Zero Wing,4.00 (11),0.0784
430,"Kanon Arrange Best Album ""recollections",3.86 (11),0.0785
431,Touch! Generations Sound Track,4.19 (16),0.0787
433,Halo 2   ,3.31 (16),0.0787
434,Metal Gear Solid  Game ,4.27 (11),0.0788
435,Tenchu 4  ,4.25 (12),0.0789
436,Professor Layton Vs Gyakuten Saiban Magical Mystery Music,4.32 (11),0.0790
437,Summoning Of Spirits: An Arrangement Of Music From Tales Of Phantasia And Tales Of Symphonia,3.62 (26),0.0790
438,Ghost In The Shell Stand Alone Complex Solid State Society O.S.T.,4.32 (11),0.0790
440,Metal Kombat For The Mortal Man,4.50 (11),0.0794
441,Guild Wars 2  Game ,4.16 (16),0.0794
442,Twilight Symphony,4.58 (12),0.0794
443,Sega Piano Nocturne,4.04 (12),0.0794
444,Mighty Switch Force 2 Official ,4.00 (12),0.0796
445,Armored Core  Best Track,3.68 (11),0.0796
446,Luminous Arc  S,3.73 (13),0.0796
447,Bioshock Orchestral Score,3.86 (14),0.0797
448,Perfect Selection Twinbee,4.04 (12),0.0797
449,Hitman: Contracts  ,4.15 (13),0.0797
450,Final Fantasy Crystal Chronicles Echoes Of Time  ,3.76 (17),0.0798
451,Suzuno=miya Ar Tonelico Iii Hymmnos Concert Side. Red,3.92 (13),0.0801
452,Shigatsu Wa Kimi No Uso  Song & ,3.86 (14),0.0801
453,The Seven Deadly Sins  ,4.36 (29),0.0802
454,Magna Carta Ii  Sound Track,3.59 (11),0.0803
455,Rockman X8  ,4.07 (15),0.0804
456,Raiden Iv  Sound Track -ultimate Of Raiden-,4.29 (12),0.0806
457,Symphonic Suite Dragon Quest Iv: Guided People,3.86 (11),0.0809
459,Chaos Rings Ii - -,4.08 (12),0.0811
460,3d Dot Game Heroes  ,3.83 (12),0.0814
461,Rockman X7  ,3.92 (13),0.0814
462,The Oneups ,3.74 (19),0.0815
463,Sonic R,4.12 (21),0.0816
464,Vampire Sound Box,4.41 (11),0.0817
465,Biohazard 6  ,3.71 (17),0.0818
466,Naraku No Hana / Eiko Shimamiya,4.29 (14),0.0820
467,Advent Rising - Music From The Video Game,4.27 (15),0.0821
468,Lord Of Apocalypse  ,3.79 (14),0.0821
469,The Music Of Diablo 1996 - 2011: Diablo 15 Year Anniversary,4.43 (14),0.0826
470,Genso Suikoden Iii  ,3.63 (19),0.0826
471,Maken X  Sound Tracks,3.91 (11),0.0826
472,The Legend Of Zelda: Ocarina Of Time,4.03 (16),0.0826
473,F-zero X: Style Arrangements,4.50 (13),0.0827
474,Manabu Namiki Works ~ Operation Ragnarok ~,3.68 (11),0.0828
475,Ridge Racers 2 Direct Audio,4.19 (13),0.0828
476,Mariokart Wii Platinum ,4.00 (20),0.0829
478,Kleene,4.23 (11),0.0830
