Rank, Album Name, Rating, #votes, Popularity
215, Pachislot Akumajo DraculaII Original Soundtrack, 2.86, 11, 0.0566
216, Devil Summoner: Soul Hackers Arrange Sound Track, 4.27, 11, 0.0568
217, FINAL FANTASY REMIX, 2.66, 19, 0.0568
218, SHIN SANGOKUMUSOU 6 ORIGINAL SOUND TRACK COMPLETE, 4.09, 11, 0.0568
219, Tales of Hearts Original Soundtrack, 3.46, 12, 0.0568
220, DooM: The Dark Side of Phobos, 3.42, 12, 0.0570
221, DARK SOULS with ARTORIAS OF THE ABYSS EDITION Original Soundtrack, 4.15, 13, 0.0570
222, PUELLA MAGI MADOKA MAGICA THE MOVIE: REBELLION ORIGINAL SOUNDTRACK, 4.50, 13, 0.0571
223, LIGHTNING RETURNS:FINAL FANTASY XIII Original Soundtrack PLUS, 3.29, 14, 0.0573
224, THE KING OF FIGHTERS 2001 ORIGINAL SOUND TRAX, 3.00, 11, 0.0573
225, narrative/NOISEofRAIN / SawanoHiroyuki[nZk] [Limited Edition], 4.86, 11, 0.0574
226, The Legend of Zelda: Ocarina of Time Original Soundtrack, 4.18, 11, 0.0577
227, Blue Exorcist The Movie Original Soundtrack, 4.46, 13, 0.0579
228, TV ANIMATION MY-HiME ORIGINAL SOUNDTRACK Vol.1 HiME, 4.50, 12, 0.0581
229, FRONT MISSION ONLINE Original Soundtrack, 3.25, 12, 0.0584
230, THE ENTRANCE "Densetsu no Ogre Battle" Image Album, 2.95, 11, 0.0592
231, L.A. Noire Official Soundtrack, 3.69, 13, 0.0593
232, ALEX KIDD COMPLETE ALBUM, 3.65, 13, 0.0597
233, The Legend of Zelda: The Wind Waker HD Sound Selection, 4.00, 12, 0.0598
234, Battlefield 3 Original Videogame Soundtrack, 2.67, 12, 0.0598
235, Rise of the Star: The Kirby's Adventure Remix Collaboration, 3.50, 12, 0.0599
236, michigan ORIGINAL SOUND TRACK, 3.18, 11, 0.0599
237, FAIRY TAIL ORIGINAL SOUND COLLECTION, 4.58, 12, 0.0602
238, Sword Art Online Original Soundtrack vol.2, 3.67, 15, 0.0602
239, Gensokyo Jihen, 4.36, 11, 0.0603
240, SORA NO KISEKI ZANMAI, 3.92, 13, 0.0605
241, FACE TO FAITH: SONIC AND THE BLACK KNIGHT - VOCAL TRAX, 4.07, 14, 0.0606
242, ninelie EP / Aimer, 4.59, 11, 0.0607
