Rank, Album Name, Rating, #votes, Popularity
172, FINAL FANTASY X-2 Original Soundtrack, 3.67, 51, 0.2687
173, Bahamut Lagoon Original Sound Track, 4.00, 32, 0.2682
174, DIGITAL DEVIL SAGA ~Avatar Tuner~ 1 & 2 Original Sound Track: Integral, 4.61, 31, 0.2668
175, GOD EATER Original Soundtrack, 4.40, 36, 0.2661
176, Romancing SaGa 3 Original Sound Version, 4.23, 28, 0.2658
177, METAL SLUG COMPLETE SOUND BOX, 4.74, 25, 0.2652
178, Tactics Ogre: Unmei no Wa Original Soundtrack, 4.32, 37, 0.2644
179, Ragnarok Online II Original Sound Track DVD Edition, 4.36, 22, 0.2644
180, Tactics Ogre: Let Us Cling Together, 4.37, 23, 0.2644
181, RADIANT SILVERGUN SOUNDTRACK+, 4.44, 31, 0.2639
182, CHRONO TRIGGER ORCHESTRA EXTRA SOUNDTRACK, 4.19, 35, 0.2637
183, FINAL FANTASY IV Original Soundtrack, 3.96, 39, 0.2617
184, NiGHTS into dreams… PERFECT ALBUM, 4.52, 31, 0.2617
185, Akumajo Dracula Judgment Original Soundtrack, 3.99, 34, 0.2613
186, Piano Collections NieR Gestalt & Replicant, 4.23, 28, 0.2611
187, BIOHAZARD 2 ORIGINAL SOUNDTRACK, 4.40, 34, 0.2604
188, BlazBlue -Calamity Trigger- Original Soundtrack, 4.17, 35, 0.2591
189, Distant Worlds II: more music from FINAL FANTASY, 4.20, 38, 0.2590
190, Ys V ORCHESTRA VERSION, 4.42, 26, 0.2581
191, Ace Combat 04 shattered skies Original Sound Tracks, 4.16, 35, 0.2579
192, Hanakisou Symphonic Orchestra, 4.58, 25, 0.2574
193, Oboromuramasa Ongakushuu Hensou no Maku, 4.41, 34, 0.2572
194, STARFOX, 4.41, 27, 0.2567
195, Journey: Original Soundtrack from the Video Game, 4.09, 41, 0.2556
196, Ogre -Grand Repeat-, 4.24, 23, 0.2549
197, Soma Bringer Original Soundtrack, 4.19, 34, 0.2546
198, Sekaiju no MeiQ Original Soundtrack, 4.26, 27, 0.2545
199, Hako no Niwa, 4.46, 26, 0.2543
200, Final Fantasy Gaiden: Seiken Densetsu Sound Collections, 4.46, 26, 0.2540
201, Game Music Concert 2 -The Best Selection-, 4.20, 22, 0.2539
202, Rockman 9: The Ambition's Revival!! Original Soundtrack, 4.38, 39, 0.2537
203, Romeo x Juliet Original Soundtrack, 4.72, 29, 0.2535
204, Castlevania: Circle of the Moon & Castlevania: Concerto of Midnight Sun Original Soundtrack, 4.27, 28, 0.2526
205, Game Music Concert -The Best Selection-, 4.15, 26, 0.2525
206, METAL GEAR SOLID 3 SNAKE EATER ORIGINAL SOUNDTRACK, 4.17, 33, 0.2521
207, ecco SONGS OF TIME, 4.43, 28, 0.2515
208, GUN HAZARD Original Sound Track, 4.02, 31, 0.2514
209, Symphonic Suite Dragon Quest VIII: Journey of the Cursed King, 4.44, 24, 0.2510
210, Ys I & II Chronicles ORIGINAL SOUND TRACK, 4.52, 28, 0.2506
211, AXELAY, 4.39, 35, 0.2502
212, dodonpachi DAI-OU-JOU / KE-TSU-I kizunajigokutachi ORIGINAL SOUND TRACK, 4.45, 32, 0.2489
213, SOULCALIBUR III ORIGINAL SOUNDTRACK ~LEGEND OF SOUNDS~, 4.41, 27, 0.2488
214, Perfect Collection Ys, 4.20, 25, 0.2485
215, Castlevania Akatsuki no Minuet & Akumajo Dracula Sougetsu no Juujika Original Soundtrack, 4.11, 37, 0.2482
216, PIANO COLLECTIONS FINAL FANTASY IV, 3.85, 37, 0.2476
217, Atelier Iris ETERNAL MANA Original Soundtrack, 4.34, 25, 0.2468
218, ROMANCING SAGA -Minstrel Song- Original Soundtrack, 4.33, 30, 0.2456
219, Stella Deus Original Soundtrack, 4.09, 34, 0.2434
220, SEIKEN DENSETSU / LEGEND OF MANA arrangement album Promise, 4.54, 28, 0.2430
221, Sekaiju no MeiQ³ *seikai no raihousya* SUPER ARRANGE VERSION, 4.57, 27, 0.2428
222, Ys SEVEN ORIGINAL SOUND TRACK, 4.37, 27, 0.2424
223, WILD ARMS Complete Tracks, 4.14, 28, 0.2423
224, Chrono Trigger Original Soundtrack, 4.11, 28, 0.2419
225, Eternity ~Memories of Light and Waves~ Music from FINAL FANTASY X-2, 4.42, 24, 0.2401
226, ACE COMBAT ZERO THE BELKAN WAR ORIGINAL SOUNDTRACK, 4.43, 36, 0.2397
227, Chaos Legion Original Soundtrack, 4.45, 30, 0.2392
228, PERFECT SELECTION SNATCHER BATTLE, 4.52, 28, 0.2390
229, Turrican Original Video Game Soundtrack, 4.48, 26, 0.2388
230, OutRun 20th Anniversary Box, 4.61, 31, 0.2382
231, Sekaiju no MeiQ⁴ *denshou no kyoshin* Original Soundtrack, 4.42, 25, 0.2380
232, VAGRANTSTORY Original Soundtrack, 4.58, 26, 0.2378
233, Beyond the Beyond ORIGINAL GAME SOUNDTRACK, 4.69, 24, 0.2378
234, All Sounds of OgreBattle, 4.00, 26, 0.2378
235, CONTRA SPIRITS, 4.48, 27, 0.2372
236, SQUARE ENIX SaGa Series 20th Anniversary Original Soundtrack -PREMIUM BOX-, 4.83, 27, 0.2372
237, ESPGALUDA II Original Sound Track, 4.22, 27, 0.2370
238, Onimusha 2 Orchestra Album ~Taro Iwasiro Selection~, 4.27, 26, 0.2366
239, Symphonic Shades - Hülsbeck in Concert, 4.46, 26, 0.2363
240, Nintendo DS Pokémon HeartGold & SoulSilver Music Super Complete, 4.53, 30, 0.2354
241, F-ZERO, 4.17, 35, 0.2346
242, Ys -THE OATH IN FELGHANA- ORIGINAL SOUND TRACK, 4.61, 31, 0.2346
243, STREET FIGHTER III 3rd STRIKE ORIGINAL SOUNDTRACK, 4.46, 27, 0.2345
244, LORD of VERMILION Original Soundtrack, 3.88, 38, 0.2344
245, 20020220 music from FINAL FANTASY, 4.16, 31, 0.2341
246, Symphony Ys, 4.46, 27, 0.2336
247, The Legend of Zelda 25th Anniversary Special Orchestra CD, 4.09, 48, 0.2335
248, THE MADNESS: BATTLE GAREGGA PERFECT SOUNDTRACK, 4.84, 22, 0.2331
249, FINAL FANTASY III Original Soundtrack, 3.76, 39, 0.2329
250, ARMODYNE, 3.91, 28, 0.2327
251, Guilty Gear XX Original Soundtrack, 4.42, 26, 0.2320
252, R4 / RIDGE RACER TYPE 4 / DIRECT AUDIO, 4.61, 35, 0.2319
253, Legaia DuelSaga Original Soundtrack, 4.15, 30, 0.2317
254, LIGHTNING RETURNS:FINAL FANTASY XIII ORIGINAL SOUNDTRACK, 3.82, 46, 0.2315
255, DEWPRISM Original Soundtrack, 4.28, 27, 0.2313
256, All Sounds of SaGa, 3.93, 28, 0.2310
257, Zwei!! Original Sound Track, 4.54, 25, 0.2310
258, Street Fighter IV Original Soundtrack, 4.07, 29, 0.2310
259, STAR OCEAN Till the End of Time Original Soundtrack vol.1, 4.25, 24, 0.2305
260, KINGDOM HEARTS II ORIGINAL SOUNDTRACK, 3.94, 32, 0.2300
261, KINGDOM HEARTS Birth by Sleep & 358/2 Days Original Soundtrack, 4.50, 35, 0.2299
262, TREASURE HUNTER G ORIGINAL SOUND TRACK, 4.20, 23, 0.2293
263, FRONT MISSION Original Sound Version, 3.93, 28, 0.2293
264, killer7 original sound track, 4.35, 26, 0.2293
265, PHANTASMAGORIA, 4.02, 30, 0.2292
266, Persona: Be Your True Mind Original Soundtracks, 4.70, 23, 0.2291
267, WILD ARMS Advanced 3rd Original Soundtrack, 4.24, 25, 0.2290
268, PIANO OPERA FINAL FANTASY I/II/III, 4.04, 28, 0.2290
269, Super Mario Land, 4.18, 28, 0.2287
270, Final Fantasy Song Book: mahoroba, 4.31, 27, 0.2278
271, "zwei!!" SUPER ARRANGE VERSION, 4.70, 27, 0.2277
272, The Legend of Zelda: Majora's Mask Original Soundtrack, 4.08, 40, 0.2275
273, F-ZERO X ORIGINAL SOUND TRACK, 4.42, 33, 0.2274
274, SHINCONTRA ORIGINAL SOUNDTRACK, 4.31, 32, 0.2270
275, GB Pokémon Complete Sound CD, 4.15, 33, 0.2268
276, CRISIS CORE -FINAL FANTASY VII- Original Soundtrack, 3.95, 41, 0.2265
277, IBARA Original Sound Track, 4.18, 38, 0.2260
278, Piano Collections KINGDOM HEARTS, 3.90, 36, 0.2258
279, Trusty Bell ~Chopin no Yume~ Original Score, 4.17, 35, 0.2257
280, Breath of Fire III Original Sound Track, 4.13, 27, 0.2256
281, SILENT HILL 4 –THE ROOM– ORIGINAL SOUNDTRACKS, 4.00, 33, 0.2256
282, near death experience, SHADOW HEARTS Arrangetracks, 4.17 (29), 0.2255
283, SOULCALIBUR original soundtrack, 4.15, 26, 0.2246
284, Hoshi no Kirby 64 Original Soundtrack, 4.33, 29, 0.2245
285, Ys Origin Original Sound Track, 4.38, 28, 0.2245
286, DRAG-ON DRAGOON 3 Original Soundtrack, 4.02, 33, 0.2242
287, DRAG-ON DRAGOON ORIGINAL SOUND TRACK VOL.2, 4.05, 28, 0.2240
288, MIDI POWER Pro 6 ~AKUMAJO DORACULA X GEKKA NO NOCUTURNE~, 4.29, 26, 0.2237
289, WILD ARMS Original Game Soundtrack, 4.11, 28, 0.2234
290, Mushihimesama Double Arrange Album, 4.00, 28, 0.2231
291, Dracula Densetsu ReBirth & Contra ReBirth Original Soundtrack, 4.05, 30, 0.2227
292, FINAL FANTASY CRYSTAL CHRONICLES Original Soundtrack, 4.13, 43, 0.2224
293, Symphony Sorcerian, 4.60, 21, 0.2224
294, Shatter - Official Videogame Soundtrack, 4.46, 27, 0.2221
295, Namco Game Sound Express VOL.4 Dragon Saber, 4.26, 23, 0.2221
296, DO-DON-PACHI DAI-FUKKATSU BLACK LABEL Original Sound Track, 4.50, 22, 0.2212
297, FINAL FANTASY XIII-2 Original Soundtrack [Limited Edition], 4.38, 34, 0.2210
298, WILD ARMS Alter code:F ORIGINAL SCORE, 4.05, 21, 0.2208
299, MARIO KART 8 ORIGINAL SOUND TRACK, 4.78, 29, 0.2206
300, WILD ARMS the Vth Vanguard ORIGINAL SCORE Vol. 1, 4.17, 24, 0.2202
301, Gikyokuonsou, 4.50, 24, 0.2197
302, Megami Tensei I • II Summon Disc & Fusion Disc, 4.40, 26, 0.2194
303, Wangan MIDNIGHT MAXIMUMTUNE 2 ORIGINAL SOUNDTRACK, 4.31, 31, 0.2193
304, GUILTY GEAR SOUND COMPLETE BOX, 4.42, 25, 0.2181
305, DO-DON-PACHI DAI-FUKKATSU Original Sound Track, 4.08, 33, 0.2181
306, Castlevania Chronicle: Akumajo Dracula Original Soundtrack, 4.02, 32, 0.2178
307, Fire Emblem: Kakusei Original Soundtrack, 4.54, 28, 0.2177
308, RAGNAROK Online Complete Soundtrack, 4.67, 23, 0.2165
309, UNDERTALE Soundtrack, 4.47, 35, 0.2156
310, PERFECT SELECTION KONAMI SHOOTING BATTLE II, 4.44, 24, 0.2152
311, GRADIUS ULTIMATE COLLECTION, 4.63, 24, 0.2149
312, Napple Tale Illustrated Guide to the Fairies, 4.65, 20, 0.2149
313, GRAVITY DAZE Original Soundtrack, 4.15, 31, 0.2144
314, Chiptuned Rockman, 4.17, 27, 0.2139
315, PERSONA3 FES ORIGINAL SOUNDTRACK, 4.01, 37, 0.2133
316, white melodies of FINAL FANTASY TACTICS ADVANCE, 4.12, 25, 0.2123
317, FINAL FANTASY TACTICS A2 Grimoire of the Rift Original Soundtrack, 4.08, 31, 0.2120
318, STREET FIGHTER Tribute Album, 4.05, 22, 0.2119
319, Music from Ys, 4.60, 15, 0.2119
320, PIANO COLLECTIONS FINAL FANTASY V, 3.80, 33, 0.2107
321, SUPER MARIO 3D WORLD ORIGINAL SOUND TRACK, 4.24, 35, 0.2101
322, Musashiden II Blademaster Original Sound Track, 4.22, 27, 0.2097
323, The Best of Grandia, 4.46, 26, 0.2094
324, Ogre Battle 64: Person of Lordly Caliber, 4.02, 22, 0.2089
325, Symphonic Suite Dragon Quest Complete CD-BOX, 4.79, 21, 0.2082
326, SHADOW HEARTS FROM THE NEW WORLD Original Soundtracks, 4.19, 26, 0.2081
327, SCC Memorial Series Snatcher -Joint Disk-, 4.56, 17, 0.2077
328, STAR OCEAN Till the End of Time Original Soundtrack vol.2, 4.04, 24, 0.2063
329, Subarashiki Kono Sekai ORIGINAL SOUNDTRACK, 4.07, 36, 0.2063
330, Live Music by Piano and Strings: 7th Dragon Super Arrange Version, 4.26, 21, 0.2062
331, A REALM REBORN: FINAL FANTASY XIV Original Soundtrack, 4.33, 27, 0.2058
332, ALUNDRA Original Game Soundtrack, 4.40, 29, 0.2058
333, BAROQUE Original Soundtrack, 4.25, 24, 0.2057
334, Klonoa of the Wind: door to phantomile Original Soundtrack, 4.48, 29, 0.2045
335, LORD of VERMILION II Original Soundtrack, 3.91, 27, 0.2043
336, Yuzo Koshiro BEST COLLECTION vol.2, 4.79, 21, 0.2042
337, Akumajo Dracula: Harmony of Despair Original Soundtrack, 4.42, 33, 0.2042
338, "Attack on Titan" Original Soundtrack, 4.14, 76, 0.2039
339, Ni no Kuni: Wrath of the White Witch - The Original Soundtrack, 4.40, 24, 0.2038
340, DRAG-ON DRAGOON ORIGINAL SOUND TRACK VOL.1, 3.98, 28, 0.2035
341, Final Fantasy Gaiden: Seiken Densetsu put your thoughts to music, 4.43, 21, 0.2034
342, [-Aka-] original sound track: PRIMITIVE, 4.70, 20, 0.2032
343, Brandish Piano Collection, 4.45, 22, 0.2031
344, Romancing SaGa 2 Eternal Romance, 4.22, 18, 0.2029
345, Double Dragon Neon Official Soundtrack, 3.98, 30, 0.2029
346, PPPPPP, 4.05, 30, 0.2028
347, Lunar 2: Eternal Blue Complete Music Soundtrack, 4.26, 19, 0.2027
348, SILENT HILL SOUNDS BOX, 4.66, 25, 0.2027
349, Lunar: Silver Star Story Complete Music Soundtrack, 4.20, 23, 0.2025
350, Gyakuten Saiban Orchestra Album ~GYAKUTEN MEETS ORCHESTRA~, 4.27, 28, 0.2024
351, Romancing SaGa Original Sound Version, 3.96, 23, 0.2022
352, METAL GEAR SOLID 2 SONS OF LIBERTY ORIGINAL SOUNDTRACK, 3.74, 34, 0.2017
353, BIO HAZARD ORCHESTRA ALBUM, 4.15, 24, 0.2017
354, The 3rd Birthday Original Soundtrack, 4.13, 28, 0.2017
355, Sekaiju no MeiQ² *shoou no seihai* Original Soundtrack, 4.39, 22, 0.2007
356, JET SET RADIO ORIGINAL SOUND TRACKS, 4.36, 29, 0.2000
357, Piano Collections FINAL FANTASY XIII, 4.01, 34, 0.1999
358, Persona 2: Innocent Sin. Original Soundtracks, 4.36, 21, 0.1997
359, Rockman 10: Uchuu Kara no Kyoui!! Original Soundtrack, 4.17, 33, 0.1997
